date,name,type,status,description,url,image
2024-01-01,"cambrian 01",,,"[provisional]",,
2023-11-01,"quirky",,,"[provisional]",,
2024-03-01,"anthology of online folk",,,"[provisional]",,
2024-04-01,"heaven",,,"[provisional]",,
2024-06-01,"baselife",,,"[provisional]",,
2024-08-01,"muy de noche",,,"[provisional]",,
2024-09-01,"perkspress",,,"[provisional]",,
2024-11-01,"heaven / echoes from the lag",,,"Published online.",,
2025-01-01,"japan0934",,,"[provisional]",,
2025-02-01,"cambrian 02",,,"[provisional]",,
2025-03-01,"ada miele / 36 images",,,"Series of 36 images and captions released on Instagram.",,
2025-04-01,"lemon lemon",,,"[provisional]",,
2025-05-01,"perkseditions.com",,,"Publishing imprint site online.",https://perkseditions.com,
2025-05-15,"perks editions / 01",,,"[provisional]",,
2025-06-01,"civil",,,"[provisional]",,
2025-07-01,"stock shelf",,,"[provisional]",,
2025-09-01,"sovereign draft",,,"Released.",,
2025-10-01,"baselife / 02",,,"[provisional]",,
2025-12-01,"ada miele / notes",,,"[provisional]",,
2026-01-01,"cambrian 03",,,"[provisional]",,
2026-02-01,"all the things in the world / trailer",,,"Trailer published.",,
2026-03-01,"stock shelf / drop",,,"[provisional]",,
